𝖌	mathematical bold fraktur small g 	u+1d58c	1d58c
𝖍	mathematical bold fraktur small h 	u+1d58d	1d58d
𝖎	mathematical bold fraktur small i 	u+1d58e	1d58e
𝖏	mathematical bold fraktur small j 	u+1d58f	1d58f
𝖐	mathematical bold fraktur small k 	u+1d590	1d590
𝖑	mathematical bold fraktur small l 	u+1d591	1d591
𝖒	mathematical bold fraktur small m 	u+1d592	1d592
𝖓	mathematical bold fraktur small n 	u+1d593	1d593
𝖔	mathematical bold fraktur small o 	u+1d594	1d594
𝖕	mathematical bold fraktur small p 	u+1d595	1d595
𝖖	mathematical bold fraktur small q 	u+1d596	1d596
𝖗	mathematical bold fraktur small r 	u+1d597	1d597
𝖘	mathematical bold fraktur small s 	u+1d598	1d598
𝖙	mathematical bold fraktur small t 	u+1d599	1d599
𝖚	mathematical bold fraktur small u 	u+1d59a	1d59a
𝖛	mathematical bold fraktur small v 	u+1d59b	1d59b
𝖜	mathematical bold fraktur small w 	u+1d59c	1d59c
𝖝	mathematical bold fraktur small x 	u+1d59d	1d59d
𝖞	mathematical bold fraktur small y 	u+1d59e	1d59e
𝖟	mathematical bold fraktur small z 	u+1d59f	1d59f
𝖠	mathematical sans-serif capital a 	u+1d5a0	1d5a0
𝖡	mathematical sans-serif capital b 	u+1d5a1	1d5a1
𝖢	mathematical sans-serif capital c 	u+1d5a2	1d5a2
𝖣	mathematical sans-serif capital d 	u+1d5a3	1d5a3
𝖤	mathematical sans-serif capital e 	u+1d5a4	1d5a4
𝖥	mathematical sans-serif capital f 	u+1d5a5	1d5a5
𝖦	mathematical sans-serif capital g 	u+1d5a6	1d5a6
𝖧	mathematical sans-serif capital h 	u+1d5a7	1d5a7
𝖨	mathematical sans-serif capital i 	u+1d5a8	1d5a8
𝖩	mathematical sans-serif capital j 	u+1d5a9	1d5a9
𝖪	mathematical sans-serif capital k 	u+1d5aa	1d5aa
𝖫	mathematical sans-serif capital l 	u+1d5ab	1d5ab
𝖬	mathematical sans-serif capital m 	u+1d5ac	1d5ac
𝖭	mathematical sans-serif capital n 	u+1d5ad	1d5ad
𝖮	mathematical sans-serif capital o 	u+1d5ae	1d5ae
𝖯	mathematical sans-serif capital p 	u+1d5af	1d5af
𝖰	mathematical sans-serif capital q 	u+1d5b0	1d5b0
𝖱	mathematical sans-serif capital r 	u+1d5b1	1d5b1
𝖲	mathematical sans-serif capital s 	u+1d5b2	1d5b2
𝖳	mathematical sans-serif capital t 	u+1d5b3	1d5b3
𝖴	mathematical sans-serif capital u 	u+1d5b4	1d5b4
𝖵	mathematical sans-serif capital v 	u+1d5b5	1d5b5
𝖶	mathematical sans-serif capital w 	u+1d5b6	1d5b6
𝖷	mathematical sans-serif capital x 	u+1d5b7	1d5b7
𝖸	mathematical sans-serif capital y 	u+1d5b8	1d5b8
𝖹	mathematical sans-serif capital z 	u+1d5b9	1d5b9
𝖺	mathematical sans-serif small a 	u+1d5ba	1d5ba
𝖻	mathematical sans-serif small b 	u+1d5bb	1d5bb
𝖼	mathematical sans-serif small c 	u+1d5bc	1d5bc
𝖽	mathematical sans-serif small d 	u+1d5bd	1d5bd
𝖾	mathematical sans-serif small e 	u+1d5be	1d5be
𝖿	mathematical sans-serif small f 	u+1d5bf	1d5bf
𝗀	mathematical sans-serif small g 	u+1d5c0	1d5c0
𝗁	mathematical sans-serif small h 	u+1d5c1	1d5c1
𝗂	mathematical sans-serif small i 	u+1d5c2	1d5c2
𝗃	mathematical sans-serif small j 	u+1d5c3	1d5c3
𝗄	mathematical sans-serif small k 	u+1d5c4	1d5c4
𝗅	mathematical sans-serif small l 	u+1d5c5	1d5c5
𝗆	mathematical sans-serif small m 	u+1d5c6	1d5c6
𝗇	mathematical sans-serif small n 	u+1d5c7	1d5c7
𝗈	mathematical sans-serif small o 	u+1d5c8	1d5c8
𝗉	mathematical sans-serif small p 	u+1d5c9	1d5c9
𝗊	mathematical sans-serif small q 	u+1d5ca	1d5ca
𝗋	mathematical sans-serif small r 	u+1d5cb	1d5cb
𝗌	mathematical sans-serif small s 	u+1d5cc	1d5cc
𝗍	mathematical sans-serif small t 	u+1d5cd	1d5cd
𝗎	mathematical sans-serif small u 	u+1d5ce	1d5ce
𝗏	mathematical sans-serif small v 	u+1d5cf	1d5cf
𝗐	mathematical sans-serif small w 	u+1d5d0	1d5d0
𝗑	mathematical sans-serif small x 	u+1d5d1	1d5d1
𝗒	mathematical sans-serif small y 	u+1d5d2	1d5d2
𝗓	mathematical sans-serif small z 	u+1d5d3	1d5d3
𝗔	mathematical sans-serif bold capital a 	u+1d5d4	1d5d4
𝗕	mathematical sans-serif bold capital b 	u+1d5d5	1d5d5
𝗖	mathematical sans-serif bold capital c 	u+1d5d6	1d5d6
𝗗	mathematical sans-serif bold capital d 	u+1d5d7	1d5d7
𝗘	mathematical sans-serif bold capital e 	u+1d5d8	1d5d8
𝗙	mathematical sans-serif bold capital f 	u+1d5d9	1d5d9
𝗚	mathematical sans-serif bold capital g 	u+1d5da	1d5da
𝗛	mathematical sans-serif bold capital h 	u+1d5db	1d5db
𝗜	mathematical sans-serif bold capital i 	u+1d5dc	1d5dc
𝗝	mathematical sans-serif bold capital j 	u+1d5dd	1d5dd
𝗞	mathematical sans-serif bold capital k 	u+1d5de	1d5de
𝗟	mathematical sans-serif bold capital l 	u+1d5df	1d5df
𝗠	mathematical sans-serif bold capital m 	u+1d5e0	1d5e0
𝗡	mathematical sans-serif bold capital n 	u+1d5e1	1d5e1
𝗢	mathematical sans-serif bold capital o 	u+1d5e2	1d5e2
𝗣	mathematical sans-serif bold capital p 	u+1d5e3	1d5e3
𝗤	mathematical sans-serif bold capital q 	u+1d5e4	1d5e4
𝗥	mathematical sans-serif bold capital r 	u+1d5e5	1d5e5
𝗦	mathematical sans-serif bold capital s 	u+1d5e6	1d5e6
